Tipo,x,y
Rutinario,-70.61772681699054,29.064171546799628
Urgencias,-20.052912537842914,-52.8757082065086
Rutinario,20.011828848765532,-47.937231160129535
Rutinario,45.85601342085448,5.523639068186867
Urgencias,-37.56273385276501,64.59615500715392
Rutinario,-98.84845071920223,92.46075831152808
Rutinario,-48.64835524071969,-94.18026736155292
Rutinario,12.136997794953047,55.226202957323466
Rutinario,-75.7537306856527,-49.80171332179852
Rutinario,-93.12449417640116,28.14454026712076
Rutinario,16.07370315817313,-26.79740377303645
Rutinario,60.59964161135329,-26.27014629916647
Urgencias,30.706401852048856,-18.91491812715134
Urgencias,-12.695491658179606,86.97586827259704
Rutinario,91.45736637973346,-44.969508384244094
Rutinario,39.94112143204768,-57.33346953767662
Rutinario,-44.17728712241862,-42.99908840191191
Rutinario,51.97589060363322,-34.86908662321821
Rutinario,21.668874343959573,3.6574847793098257
Urgencias,86.51171231498657,98.05401914597735
Urgencias,-75.04053497362037,40.88357215022157
Por Definir,-92.25647970331305,-76.10136077040193
Por Definir,-69.13013273178512,-85.49908982747739
Por Definir,7.9993231423986915,-84.02491212227696
Por Definir,-59.070985918634,-35.67231399719428
Por Definir,-39.73475443438288,-69.3683798056474
Por Definir,-80.17496432421146,-9.645995807407376
Por Definir,-29.774339736287633,-9.846126944937014
Por Definir,-39.316156908045784,24.41800117264427
Por Definir,-4.533347710640286,20.60800457422603
Por Definir,-92.25647970331305,-76.10136077040193
Por Definir,-68.2425077963578,-85.10959007929773
Por Definir,3.8918111584996433,-84.48521244186622
Por Definir,-58.865117758025626,-36.608494610789485
Por Definir,-79.15737937468207,-10.363526146930035
Por Definir,-21.920515111197435,-13.542983769495024
Por Definir,-45.52643777157776,15.427500590798953
Por Definir,-18.733015566929446,35.15623769891003
Por Definir,1.754013195967347,13.472559983975405
Por Definir,43.61979722275376,57.68594258824498
Por Definir,80.676291943883,44.03103594786254
