Tipo,x,y
Rutinario,1.5387884808933803,-100.02736029012004
Rutinario,-4.6530619879602115,6.309921457608548
Hospital,21.137943753290923,19.650760980196296
Rutinario,-11.710257750955895,25.23387029075746
Rutinario,-25.58498264165967,-17.2925540438898
Rutinario,7.609453833923204,5.151887575741131
Rutinario,-62.75931883164263,-58.89055109454797
Rutinario,-23.567582591287817,19.299420265418735
Rutinario,80.25571306407257,-11.13223826960718
Rutinario,23.351856485908375,47.98116162740091
Rutinario,-79.71860756723981,-2.2534667763844953
Urgencias,-47.592787310946335,53.81248512181872
Rutinario,-10.983408688308515,-38.482805507072996
Rutinario,-33.29225482962404,17.13481394527541
Urgencias,-31.098265641673084,-84.40794126412327
Hospital,62.40273911302964,47.195400386038465
Rutinario,42.852235410792694,0.18946345478330276
Rutinario,35.136445664451735,-89.98970045469598
Rutinario,-4.123421311973631,-25.413598704549063
Rutinario,33.51871961206308,38.648877773348595
Rutinario,10.362415090233279,59.653181386564746
Por Definir,-103.25036927140438,-43.081532520444796
Por Definir,-74.62606496381765,-88.78522451731796
Por Definir,17.993561761387756,-56.336570507940685
Por Definir,-36.19441821689447,-45.63716388400024
Por Definir,-52.194621009350676,-11.70833778281229
Por Definir,-15.313170959943736,-20.493711733634346
Por Definir,-15.7642678490078,-3.91841491631369
Por Definir,3.8286793503484935,23.631706339152636
Por Definir,-4.551485217171973,44.67148814755198
Por Definir,97.14600180057687,25.509877923205803
Por Definir,40.67859320064596,77.92768863372663
Por Definir,92.84147802602509,77.05123910942245
Por Definir,-102.9029145938769,-43.1424046706804
Por Definir,-74.23769651189048,-88.60771486196602
Por Definir,1.1090406149230974,-61.77025945139515
Por Definir,-53.195834243550145,-13.297052673533765
Por Definir,-36.49477123784063,-44.19618882070093
Por Definir,-13.03586510867316,-5.966155136768107
Por Definir,4.125897087829895,24.470323163452715
Por Definir,-5.661647086350869,45.274505402260274
Por Definir,64.77915775182926,19.7543792650676
Por Definir,38.37641006980393,65.7715262617975
Por Definir,44.70234319509651,93.00248655023023
Por Definir,91.50512807197914,74.78131468698665
Por Definir,112.9288962292072,29.89429521574633
Por Definir,40.08945795115138,-44.732794611404756
