Tipo,x,y
Hospital,-31.062672397538076,-18.878255259252054
Rutinario,-74.31593328851334,-52.48558207511503
Rutinario,-29.300285164431155,25.87219409253455
Rutinario,18.744170234631678,-2.4898300035630943
Rutinario,-0.4168217885806734,47.72702290229474
Rutinario,-28.162589431767977,-19.39954990926223
Rutinario,1.3304214081627779,-15.097970262785246
Rutinario,54.802120843063165,-23.539348457446984
Rutinario,-31.412878238708974,-35.17140942371724
Rutinario,-26.43995529412525,-49.3829801236755
Rutinario,74.756281771394,45.1690839817328
Rutinario,42.8951222433602,8.739575784775399
Rutinario,39.37034777711945,32.42432857283995
Rutinario,81.61842325372622,-25.709012742148442
Rutinario,-23.121518323508283,-71.80763791292205
Urgencias,-74.3386493430989,-51.82767227544692
Urgencias,18.702524134625413,-2.694752728056372
Urgencias,-1.011225216297476,47.73960587661189
Urgencias,-26.36044910316995,-49.521392841087554
Urgencias,74.30574668925122,44.890460979141814
Rutinario,-52.33436449048617,-3.4299579413431966
Por Definir,18.939408217807063,35.25596543762082
Por Definir,-47.96700752612213,-72.21248154377766
Por Definir,-43.97971226927697,-52.10921697026222
Por Definir,-92.64427188798048,-26.23803337964608
Por Definir,-48.200911782961334,-38.12465489266855
Por Definir,-69.46311730021027,-22.367760569747315
Por Definir,30.54710182581312,-28.991152234148387
Por Definir,-11.189581434865888,-37.888305440628116
Por Definir,-9.088517629886365,-16.718745147135344
Por Definir,23.573808248565637,-14.832654379815486
Por Definir,-47.38895044303462,-70.89364975161114
Por Definir,-90.45521461085396,-25.040357969626548
Por Definir,-44.776949804794896,-45.53927570513014
Por Definir,-65.60058709882944,-27.485041672276576
Por Definir,31.824370889713915,-32.51301531285919
Por Definir,-11.002489083772874,-36.631286185080675
Por Definir,-15.118773889474095,21.8418250415397
Por Definir,19.76420118162077,8.550007728700894
Por Definir,19.488329932243445,33.574385904781245
Por Definir,39.80003263185038,50.702864683219524
